wav	source_processed	source_raw	target_raw
guarani000297.wav	oikóva ambue ñane retã táva rupi	oikóva ambue ñane retã táva rupi	Que viven por las ciudades de nuestro país
guarani000298.wav	ajetepyso ha asẽ korapýpe	Ajetepyso ha asẽ korapýpe.	Realicé un estiramiento y salí al patio
guarani000299.wav	mborayhu ijapyra'ỹva	"Mborayhu ijapyra'ỹva"	Amor sin límites
guarani000300.wav	iñirũnguéra niko ohupi chupe ijyva ári	Iñirũnguéra niko ohupi chupe ijyva ári.	Sus compañeros le alzan en sus brazos
guarani000301.wav	mávapa umi mbo ehára ikatupyryvéva	Mávapa umi mboʼehára ikatupyryvéva?	¿Quiénes son los maestros más capaces?
guarani000302.wav	mba'eichahápepiko oiko nderehe upéva	"Mba'eichahápepiko oiko nderehe upéva."	¿En qué momento te pasó esto?
guarani000303.wav	heko	Heko.	Su hábito/su condición
guarani000304.wav	mano ha te õnguekuaaty ayvureko rehe	Mano ha Teʼõnguekuaaty Ayvureko rehe.	Sobre el Lenguaje de la Muerte y el Mortuorio.
guarani000305.wav	ary pyahúpe	Ary Pyahúpe.	En año nuevo
guarani000306.wav	ndaha éi imbaipýva	Ndahaʼéi imbaipýva.	No es embarroso
guarani000307.wav	ita'yrakuéra oipytyvõkuri ichupe	"Ita'yrakuéra oipytyvõkuri ichupe"	Sus hijos lo ayudaron
guarani000308.wav	ajépango ijetu'u hoga'ỹva rekove	"Ajépango ijetu'u hoga'ỹva rekove."	Es complicada la vida de los que no tienen casa, ¿cierto?
guarani000309.wav	oúkuri hendápe ojerurévo pytyvõ tembi'u térã pirapire	"Oúkuri hendápe ojerurévo pytyvõ, tembi'u térã pirapire."	Había venido donde estaba pidiendo ayuda, alimentos o dinero
guarani000310.wav	ahekahína che hermanope	Ahekahína che hermanope.	Estoy buscando a mi hermano
guarani000311.wav	upe aravópe oñe'ẽ ha oikóva mitãmimícha	"upe aravópe oñe'ẽ ha oikóva mitãmimícha."	En esa hora habla y anda como un niño
guarani000312.wav	heta hembiapokue oñembohasa ta ãngaryrýipe	Heta hembiapokue oñembohasa taʼãngaryrýipe.	Varios de sus trabajos se transmitieron a través de la televisión
guarani000313.wav	ára ha ára pyharevete oguerahava'erã vaka kamby távape	"Ára ha ára, pyharevete oguerahava'erã vaka kamby távape."	Todas las mañanas, lleva leche a la ciudad
guarani000314.wav	araka'épa rejevýta	"Araka'épa rejevýta."	¿Cuándo retrocederás?
guarani000315.wav	upe mba'e ojehu rire	"upe mba'e ojehu rire"	Luego de que pase eso
guarani000316.wav	katu atererehína	Katu atererehína.	Estoy bebiendo terere
guarani000317.wav	peteĩ kavaju ovéro ikatupyry ha imbaretéva ári	Peteĩ kavaju ovéro ikatupyry ha imbaretéva ári.	Sobre un caballo overo bastante capaz y fuerte
guarani000318.wav	ágakatu maria noñeme ẽi mavavépe	Ág̃akatu Maria noñemeʼẽi mavavépe.	Ahora mismo María no se presta para nadie
guarani000319.wav	tenda ijyvy he'õva	"Tenda ijyvy he'õva."	Lugar con tierra humeda
guarani000320.wav	noñembo'éi peẽme mba'épa pejapova'erã ága oikóramo umíva	"Noñembo'éi peẽme mba'épa pejapova'erã ág̃a oikóramo umíva."	No se les enseñó a ustedes lo que deben hacer cuando ocurran esas cosas
guarani000321.wav	upe pyhare jeko ndaikatuivoíkuri oke	Upe pyhare jeko ndaikatuivoíkuri oke	Esa noche fue que supuestamente no había podido dormir
guarani000322.wav	ndépa reikuaa moõpa opyta iglesia de la encarnación	Ndépa reikuaa moõpa opyta Iglesia de la Encarnación.	¿Sabes dónde está ubicada la Iglesia de la Encarnación?
guarani000323.wav	mávapa upe hapicha kuña ohayhu'ỹva chupe	"Mávapa upe hapicha kuña ohayhu'ỹva chupe."	Quén es esa mujer que no le quiere a él
guarani000324.wav	py'ỹinte niko maria ha luchi ojojuhúmiva'erã ha oñomongeta kyre'ỹ	"Py'ỹinte niko Maria ha Luchi ojojuhúmiva'erã ha oñomongeta kyre'ỹ."	Con frecuencia María y Luciano se encontraban y se ponían a conversar con entusiasmo
guarani000325.wav	py'aevoi hogayguakuéra ogueru chupe ikahõrã	"Py'aevoi hogayguakuéra ogueru chupe ikahõrã."	Rápidamente sus familiares, trajeron para su ataúd
guarani000326.wav	ha jepiveguáicha oñembosako'i hikuái mokõive osẽ hagua	"ha jepiveguáicha oñembosako'i hikuái mokõive osẽ hag̃ua"	Y como siempre los dos se prepararon para salir
guarani000327.wav	oñembo'e avei ha upéi ohypýi ykaraipyrépe	"Oñembo'e avei ha upéi ohypýi ykaraipyrépe."	Rezaba y luego lo rocíaba con agua bendita
guarani000328.wav	tanepytyvõna ha upéi jaha jaterere	Tanepytyvõna ha upéi jaha jaterere.	Que te ayude y luego vamos a tomar tereré
guarani000329.wav	upépe omba'apo hikuái ikokuépe	"Upépe omba'apo hikuái ikokuépe."	Trabajan allí en su chacra
guarani000330.wav	ko ága oĩháicha ndikatúi ojepuru	Koʼág̃a oĩháicha ndikatúi ojepuru.	En el estado que se encuentra, ya no se puede usar
guarani000331.wav	marta omohenda hi'upy mesápe	"Marta omohenda hi'upy mesápe"	Marta ubica los alimentos en la mesa
guarani000332.wav	ohendu ojepopetéva	ohendu ojepopetéva.	Escuchó a alguien aplaudir
guarani000333.wav	pe mba'asy oikesapy'árõ nde retépe niko oñeñanduka mokõi ára rire	"Pe mba'asy oikesapy'árõ nde retépe niko oñeñanduka mokõi ára rire"	Si esa enfermedad llega a entrar a tu cuerpo empezará a hacer efectos dos días después
guarani000334.wav	heñoi'akue táva itauguápe	"heñoi'akue táva Itauguápe"	Nació en la ciudad de Itaugua
guarani000335.wav	y tapemimíre osyry	Y tapemimíre osyry	El agua que corría por las calles
guarani000336.wav	mba'etekópio	"Mba'etekópio."	¿Cómo estás?
guarani000337.wav	aha'ãrõ ne mbohovái	"Aha'ãrõ ne mbohovái."	Espero tu respuesta
guarani000338.wav	upéva ojehu vove yvate gotyo ahava'erã	"upéva ojehu vove yvate gotyo ahava'erã"	Cuando eso pase, iré hacia el cielo
guarani000339.wav	ha neipamírõ guarã ohendujeyjeýkuri máva ombotáva	Ha neipamírõ g̃uarã ohendujeyjeýkuri máva ombotáva.	Enseguida escuchó nuevamente a alguien que realizaba golpes
guarani000340.wav	tereréniko ñane angirũ ñanderayhurakate'ỹva	"Tereréniko ñane angirũ ñanderayhurakate'ỹva."	Tereré es nuestro amigo que nos aprecia y mezquina
guarani000341.wav	hese ỹ ñande ndaha éi mba eve	Heseʼỹ ñande ndahaʼéi mbaʼeve.	Sin él/ella no somos nada
guarani000342.wav	upe ary iñapysẽ hembiapovusu	Upe ary iñapysẽ hembiapovusu	En ese año apareció su gran trabajo
guarani000343.wav	malvina ñorairõ	Malvina Ñorairõ.	Guerra de las Malvinas
guarani000344.wav	iñakãnundu ha hy'ái ha ososopa	"iñakãnundu ha hy'ái ha ososopa"	Tiene fiebre, suda y tiembla
guarani000345.wav	aníke ndepojopy	Aníke ndepojopy.	Que no te presione la mano
guarani000346.wav	tomboyke pokarẽ tovamokõi ñembotavy ha oparei	Tomboyke pokarẽ, tovamokõi, ñembotavy ha oparei	Que deje bien por detrás la falsedad, desentendimiento y la poca seriedad
guarani000347.wav	oĩ ambue pohãnohára ndoipurúiva ñana	Oĩ ambue pohãnohára ndoipurúiva ñana.	Hay dos médicos que no utilizan remedios
guarani000348.wav	pya'épiko reju jeýta	"Pya'épiko reju jeýta."	¿Volverás pronto?
guarani000349.wav	japracticáma	Japracticáma.	Ya practicamos
guarani000350.wav	mba'éichapa oñeñongatu	"Mba'éichapa oñeñongatu."	¿Cómo se guarda?
guarani000351.wav	oikóva guive oikonte'arãvoi	"Oikóva guive oikonte'arãvoi"	Todo lo que ocurre es porque debe ser
guarani000352.wav	opavavéva omomba eguasúkuri umi mba e ojejapómava	Opavavéva omombaʼeguasúkuri umi mbaʼe ojejapómava.	Todos enaltecieron aquellas cosas que se han hecho
guarani000353.wav	chemoirũke che irũ	Chemoirũke che irũ	Acompáñame compañero
guarani000354.wav	opavave jaikuaa jasypápe ojehasa'asyha oparupiete	"Opavave jaikuaa jasypápe ojehasa'asyha oparupiete"	Todos sabemos que en octubre, se complican las situaciones en todos los lugares
guarani000355.wav	mba'épa oikova'erã chehegui oñemondasapy'árõ chehegui	"Mba'épa oikova'erã chehegui oñemondasapy'árõ chehegui"	¿Qué pasará de mí, si llegan a robarlo?
guarani000356.wav	ejohéi la guampa iky'áva	"Ejohéi la guampa iky'áva."	Limpiá la guampa que está sucia
guarani000357.wav	omba'apo porã ha omba'apokuaágui	"Omba'apo porã ha omba'apokuaágui."	Trabaja bien, porque sabe trabajar
guarani000358.wav	oñemoña hupi'águi	"Oñemoña hupi'águi."	Se reproducen a través de sus huevos
guarani000359.wav	oguapyjeko yvyráre kuarahy'ãme	"Oguapyjeko yvyráre kuarahy'ãme"	Se sentaba por un árbol, en la sombra
guarani000360.wav	oguereko hikuái po mitã	Oguereko hikuái po mitã.	Ellos tienen cinco niños
guarani000361.wav	mbovy arýpa reguereko	Mbovy arýpa reguereko.	¿Cuántos años tienes?
guarani000362.wav	kuña ikyre'ỹetéva voi opu'ã	"Kuña ikyre'ỹetéva voi opu'ã"	La mujer guapa se levanta temprano
guarani000363.wav	chekaigue che ra'a	"Chekaigue, che ra'a."	Estoy sin ánimos, amigo/compañero
guarani000364.wav	ñana ombopupuva'erã ha hykuere hoy'uva'erã	"Ñana ombopupuva'erã ha hykuere hoy'uva'erã."	Debe hervir los yuyos y beber el líquido
guarani000365.wav	ama totyky mbeguemi	ama totyky mbeguemi	Que la lluvia gotee lentamente
guarani000366.wav	omboperepepe omosunu ha omboparapa upe tenda	Omboperepepe, omosunu ha omboparapa upe tenda.	Realizó un desastre en el lugar (sonidos onomatopéyicos)
guarani000367.wav	sombrero ka'a	"Sombrero ka'a."	Sombrero de arbusto (obra de Julio Correa)
guarani000368.wav	péicha jave ropu'ãmiva'erã rohechávo mba'épa	"Péicha jave ropu'ãmiva'erã rohechávo mba'épa."	En estos casos, nos levantábamos a ver qué es
guarani000369.wav	mymbáre ñeñangareko	Mymbáre ñeñangareko.	Cuidar de los animales
guarani000370.wav	heta tapicha ohayhu añete hilario ha hogayguakuérape	Heta tapicha ohayhu añete Hilario ha hogayguakuérape.	Varias personas aprecian realmente a Hilario y a sus familiares
guarani000371.wav	cheñyrõmi	Cheñyrõmi.	Discúlpame
guarani000372.wav	ikatúpa ahasami	Ikatúpa ahasami	¿Puedo pasar?
guarani000373.wav	upeichaite jekoraka'e ojehu chupe mba'e	"Upeichaite jekoraka'e ojehu chupe mba'e."	Dice que le ha sucedido de esa manera
guarani000374.wav	giménez katu itarovavéntema opyta uperire	Giménez katu itarovavéntema opyta uperire.	Giménez quedó aún más loco, después
guarani000375.wav	mba'eichajoaitépa	"Mba'eichajoaitépa"	¿Cómo están todos?
guarani000376.wav	chemandu'a peteĩ jey aguahẽva'ekue hendápe	"Chemandu'a peteĩ jey ag̃uahẽva'ekue hendápe."	Recuerdo haber llegado junto a él/ella
guarani000377.wav	ha hi'ariete ndéngo peteĩ kuimba'e nderekomarãva	"ha hi'ariete ndéngo peteĩ kuimba'e nderekomarãva"	Además, eres un joven que lleva una vida imperfecta
guarani000378.wav	opóvoi ha he i karai gonzálezpe rehendúpara e	Opóvoi ha heʼi karai Gonzálezpe “Rehendúparaʼe”.	Saltó y le dijo a Don González "¿Lo escuchaste?"
guarani000379.wav	che vare'aitereíkuri	"Che vare'aitereíkuri."	Tenía mucha hambre
guarani000380.wav	oñemongeta hendive peteĩ karai	oñemongeta hendive peteĩ karai	Conversa con él/ella un señor
guarani000381.wav	akóinte iñorairõme oipurúkuri py aguapy reko	Akóinte iñorairõme oipurúkuri pyʼaguapy reko.	Siempre en sus peleas utilizó la calma
guarani000382.wav	ojapouka nderehe ko mba'e ohayhúgui avei ne rembiayhujárape	"Ojapouka nderehe ko mba'e ohayhúgui avei ne rembiayhujárape."	Te hizo esto, porque también ama a la persona que tú amas
guarani000383.wav	upépe omohu'ãkuri mbo'esyry mbohapyha	"upépe omohu'ãkuri mbo'esyry mbohapyha"	Allí culminó el tercer curso
guarani000384.wav	hetave ouhína hembiaporã ñane avañe ẽre	Hetave ouhína hembiaporã ñane Avañeʼẽre.	Vienen más actividades con respecto a nuestra lengua Guaraní
guarani000385.wav	ha akóinte tereiko tekokatúpe	Ha akóinte tereiko tekokatúpe	Y que siempre tengas una vida plena
guarani000386.wav	oñapytĩ ikyha tatakua kótare	Oñapytĩ ikyha tatakua kótare	Amarró su hamaca cerca del horno criollo
guarani000387.wav	okaru ka'a	"Okaru ka'a."	Come yerba.
guarani000388.wav	ha ombojoapy hikuái	ha ombojoapy hikuái	Están añadiendo.
guarani000389.wav	ju'i opurahéi jave okýta	"Ju'i opurahéi jave, okýta"	Cuando canta la rana, lloverá.
guarani000390.wav	upémarõ he'i hikuái chupe heta mba'e	"Upémarõ he'i hikuái chupe heta mba'e"	Entonces ellos le dijeron muchas cosas.
guarani000391.wav	añetehápe umi iñirũmimi oñembohorýmiva'erã hese	"Añetehápe, umi iñirũmimi oñembohorýmiva'erã hese."	De verdad, de vez en cuando sus amigos se burlan de él.
guarani000392.wav	heterasypaitésapy'a	"Heterasypaitésapy'a."	Tiene dolor corporal de repente.
guarani000393.wav	tupã taneha ãrõ heta ro y rupi	Tupã tanehaʼãrõ heta roʼy rupi.	Dios te esperó en muchos inviernos.
guarani000394.wav	hi'a ha omongaru opavavetépe	"hi'a ha omongaru opavavetépe"	Tiene fruta y da de comer a todos.
guarani000395.wav	ha peteĩ katu ome'ẽ jepe chupe peteĩ kurundu'imi	"ha peteĩ katu ome'ẽ jepe chupe peteĩ kurundu'imi"	Y uno le dio un amuleto.
guarani000396.wav	maymaite ovy ákuri	Maymaite ovyʼákuri.	Todos se alegraron.
guarani000397.wav	ipirapirehetáva ha imboriahúva	ipirapirehetáva ha imboriahúva	El rico y el pobre.
guarani000398.wav	ága katu upépe ndopái upe mba'e	"Ág̃a katu upépe ndopái upe mba'e."	Ahora sique ahí no termina esa cuestión.
guarani000399.wav	nomohu'ãi iñemoarandu	"Nomohu'ãi iñemoarandu."	No terminó su educación.
guarani000400.wav	ndaipóringo ndehegui herakuãporãvéva	Ndaipóringo ndehegui herakuãporãvéva	No hay otro más renombrado que vos.
guarani000401.wav	mba'épa ojejapo ñemuháme	"Mba'épa ojejapo ñemuháme."	¿Qué haces en el mercado?
guarani000402.wav	jahána oñondive ha nde reipepirũ iñirũme	Jahána oñondive ha nde reipepirũ iñirũme.	Vámonos juntos y vos invitale a su amigo.
guarani000403.wav	ha ekuéra ndaha éi mba eve	Haʼekuéra ndahaʼéi mbaʼeve.	Ellos no son nada.
guarani000404.wav	villarrica ararecha	Villarrica ararecha.	Día de ver a Villarica.
guarani000405.wav	dengue ndejapyhýrõ pya'emíke tereho pohãnohára rendápe	"Dengue ndejapyhýrõ pya'emíke tereho pohãnohára rendápe."	Si  te agarra el dengue rápido debes ir al hospital.
guarani000406.wav	moõpa opyta	Moõpa opyta.	¿Dónde queda?
guarani000407.wav	eñangarekomi cherehe nde pokatu tuichaitévape	Eñangarekomi cherehe nde pokatu tuichaitévape.	Cuídame con tu gran poder.
guarani000408.wav	maria ohómiva'erá oñemombo hupápe ha hasẽ soro	"Maria ohómiva'erá oñemombo hupápe ha hasẽ soro."	María siempre se va a tirarse en su cama y llora mucho.
guarani000409.wav	chipa manduvi ha chipa mbokaja	Chipa manduvi ha chipa mbokaja	Chipa de maní y chipa de coco.
guarani000410.wav	eho eñami ñande vaka	Eho eñami ñande vaka.	Ve a ordeñar a nuestra vaca.
guarani000411.wav	guyra opaichagua	Guyra opaichagua.	Variedad de aves.
guarani000412.wav	chénte ha'e ndavy'amo'ãitaha so'o'ỹre are	"Chénte ha'e ndavy'amo'ãitaha so'o'ỹre are."	Yo digo que no me alegraría sin carne en muchos días.
guarani000413.wav	ha mba'éiko ajapokuaa	"Ha mba'éiko ajapokuaa."	¿Y qué sabe hacer?
guarani000414.wav	eikove ha eheja ambuépe toikove	Eikove ha eheja ambuépe toikove.	Vive y deja vivir.
guarani000415.wav	emboscada araitépe	Emboscada araitépe.	Trampa en pleno día.
guarani000416.wav	jepérõ upéicha mba'evéma ndaikatúi ojapovévo hese	"Jepérõ upéicha mba'evéma ndaikatúi ojapovévo hese."	Con todo eso ya no le puede hacer nada.
guarani000417.wav	leõ ha ju'i oike hikuái peteĩ ñemuháme	"Leõ ha ju'i oike hikuái peteĩ ñemuháme."	El león y la rana entraron en una tienda.
guarani000418.wav	eñomongetami ne remimbo'e ndive	"Eñomongetami ne remimbo'e ndive."	Conversá con tus estudiantes.
guarani000419.wav	norohenduvéi mba'eve	"Norohenduvéi mba'eve."	No escuchamos nada.
guarani000420.wav	upéi ae yvy oñepyrũjeytaha ome'ẽ opaichagua temitỹ	"upéi ae yvy oñepyrũjeytaha ome'ẽ opaichagua temitỹ"	Después recién la tierra va a dar su fruto.
guarani000421.wav	ojerurékuri oñeguenohẽ hagua ita ombotýva jeikeha	ojerurékuri oñeguenohẽ hag̃ua ita ombotýva jeikeha	Pidió que se saque la piedra que tapaba el camino.
guarani000422.wav	clari róga	Clari róga.	La casa de Clari.
guarani000423.wav	hekove ru'ã	"Hekove ru'ã."	Su vida llegó a su fin.
guarani000424.wav	ikatúpa asẽ sapy'aite	"Ikatúpa asẽ sapy'aite."	¿Puedo salir un ratito?
guarani000425.wav	che vaka ipirueterei	Che vaka ipirueterei.	Mi vaca es muy flaca.
guarani000426.wav	heta pirapire ndaje oñeme ẽkuri chupe	Heta pirapire ndaje oñemeʼẽkuri chupe.	Dice que se le dio mucha plata.
guarani000427.wav	peteĩ jasy ohasa rire	Peteĩ jasy ohasa rire.	Después de haber pasado un mes.
guarani000428.wav	ápe aime roipytyvõ hagua	ápe aime roipytyvõ hag̃ua	Aquí estaré para ayudarte.
guarani000429.wav	mba'éichapa héra nde ryke'y	"Mba'éichapa héra nde ryke'y."	¿Cómo se llama tu hermano menor?
guarani000430.wav	araka'épiko oñemoarandúta	"Araka'épiko oñemoarandúta."	¿Cuándo va a ser inteligente?
guarani000431.wav	ahupytypotáma chupe	Ahupytypotáma chupe.	Ya casi lo alcanzo.
guarani000432.wav	michĩ ha'úkuri	"Michĩ ha'úkuri."	Comí poco.
guarani000433.wav	hu'y apýre omoĩ hikuái guyra raguemimi	"Hu'y apýre omoĩ hikuái guyra raguemimi."	Por la pulta de la flecha ellos le pusieron plumas de pájaros.
guarani000434.wav	péicha oñepyrũkuri iñemoarandu puraheikuaápe	Péicha oñepyrũkuri iñemoarandu puraheikuaápe.	Así  comenzó a aprender música.
guarani000435.wav	yva he'ẽ	"Yva he'ẽ."	Fruta dulce.
guarani000436.wav	ha vokóike guaiguimi ohechaukákuri chupe peteĩ ta'ãnga	"ha vokóike g̃uaig̃uimi ohechaukákuri chupe peteĩ ta'ãnga"	Ahí nomas la ancianita le mostró una foto.
guarani000437.wav	roñe'ẽmbareihína che rogayguakuéra ndive	"Roñe'ẽmbareihína che rogayguakuéra ndive."	Estamos hablando todo de balde con la familia.
guarani000438.wav	eho ejerure toñemoĩ peteĩ purahéi porã	Eho ejerure toñemoĩ peteĩ purahéi porã.	Vete a pedirle que ponga una buena música.
guarani000439.wav	pyhare ho'ysã ro'yeterei	"Pyhare, ho'ysã, ro'yeterei."	En la noche, refresca, hace mucho frío.
guarani000440.wav	kuruvaíre ñañe'ẽñaína	"Kuruvaíre ñañe'ẽñaína."	Estamos hablando de grano muy feo.
guarani000441.wav	sapy'apy'a ojejuhu upépe pláta yvyguy	"Sapy'apy'a ojejuhu upépe Pláta Yvyguy."	De vez en cuando.
guarani000442.wav	ani rekaguai ndejehe	Ani rekaguai ndejehe.	No hables de ti mismo.
guarani000443.wav	upévare avei ndaipóri kuimba'e ojesareko'ỹva hese	"upévare avei ndaipóri kuimba'e ojesareko'ỹva hese."	Por eso no hay hombre que no se fije en ella.
guarani000444.wav	ka'arupytũ oguahẽ jave	"Ka'arupytũ og̃uahẽ jave"	Cuando llega la noche.
guarani000445.wav	ambue hembiapokue	Ambue hembiapokue.	Su trabajo anterior.
guarani000446.wav	upe árape ojehova'erã paíno ha maína rógape	"Upe árape ojehova'erã paíno ha maína rógape"	Ese día debe irse a casa de su padríno y su madrína.
guarani000447.wav	ikane'õmarõ oheka peteĩ ogami opytu'u hagua	"Ikane'õmarõ oheka peteĩ ogami opytu'u hag̃ua."	El esforzado busca una casa para descansar.
guarani000448.wav	osẽkuri ohopa heseve brasil pe	osẽkuri ohopa heseve Brasil-pe.	Salieron y se fueron todos con él a Brasil.
guarani000449.wav	ỹramo eme'ẽkuaa chéve tembi'urã	"ỹramo eme'ẽkuaa chéve tembi'urã"	Como agua sabe darme comida.
guarani000450.wav	che aiko	Che aiko.	Yo vivo.
guarani000451.wav	pya'épeko oho hikuái ipiári	"Pya'épeko oho hikuái ipiári."	Muy rápido se fueron ellos.
guarani000452.wav	ha ojapo hikuái chupe guarã chipa kavure	Ha ojapo hikuái chupe g̃uarã chipa kavure.	Y ellos hicieron para él chipa de mandioca.
guarani000453.wav	avy'aite rohecháre	"Avy'aite rohecháre."	Me alegro mucho de verte.
guarani000454.wav	ha e ituicha	Ha’e ituicha.	Él es grande.
guarani000455.wav	sa'ivépe jajoavy	"Sa'ivépe jajoavy."	Muy poco podemos diferenciar.
